song_no,title,album,artist
36356993,I AM,I've IVE,IVE (아이브)
36318125,Kitsch,I've IVE,IVE (아이브)
36331121,꽃,ME,지수 (JISOO)
36351997,사람 Pt.2 (feat. 아이유),D-DAY,Agust D
35945927,Ditto,NewJeans 'OMG',NewJeans
35454426,Hype boy,NewJeans 1st EP 'New Jeans',NewJeans
35985167,OMG,NewJeans 'OMG',NewJeans
34061322,사랑은 늘 도망가,신사와 아가씨 OST Part.2,임영웅
36105548,Teddy Bear,Teddy Bear,STAYC(스테이씨)
36371558,FRIEND THE END,사랑.zip,볼빨간사춘기
36313117,Like Crazy,FACE,지민
34908740,우리들의 블루스,IM HERO,임영웅
34819473,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',윤하 (YOUNHA)
35640751,I Don't Think That I Like Her,CHARLIE,Charlie Puth
36145589,CHRISTIAN,WHERE DOES SASQUATCH LIVE? PART 1,Zior Park
36110996,파이팅 해야지 (Feat. 이영지),부석순 1st Single Album 'SECOND WIND',부석순 (SEVENTEEN)
36266615,Love Me Like This,expérgo,NMIXX
35008524,다시 만날 수 있을까,IM HERO,임영웅
35834583,London Boy,Polaroid,임영웅
36180700,심(心),심(心),DK(디셈버)
35834584,Polaroid,Polaroid,임영웅
35546497,After LIKE,After LIKE,IVE (아이브)
32508053,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅
35008525,무지개,IM HERO,임영웅
35008527,아버지,IM HERO,임영웅
35454425,Attention,NewJeans 1st EP 'New Jeans',NewJeans
36334401,사랑하지 않아서 그랬어,사랑하지 않아서 그랬어,임한별
35008528,A bientot,IM HERO,임영웅
35008534,인생찬가,IM HERO,임영웅
36365073,빛이 나는 너에게,빛이 나는 너에게,던 (DAWN)
36374470,Perfume,Perfume - The 1st Mini Album,NCT 도재정
35008526,손이 참 곱던 그대,IM HERO,임영웅
36337593,Zero,Zero,NewJeans
35008531,사랑해 진짜,IM HERO,임영웅
35729104,ANTIFRAGILE,ANTIFRAGILE,LE SSERAFIM (르세라핌)
35008532,연애편지,IM HERO,임영웅
36312416,밤이 무서워요 (Lonely Night),밤이 무서워요 (Lonely Night),주주 시크릿
34847378,LOVE DIVE,LOVE DIVE,IVE (아이브)
36206259,Cupid,The Beginning: Cupid,FIFTY FIFTY
35008530,보금자리,IM HERO,임영웅
36245034,Nostalgia,Nostalgia,우디 (Woody)
36206208,사랑하기 싫어,사랑하기 싫어,지아
35535827,NIGHT DANCER,NIGHT DANCER,imase
36325563,발걸음,발걸음,DK(디셈버)
32872978,Dynamite,Dynamite (DayTime Version),방탄소년단
8037843,Dangerously,Nine Track Mind (Deluxe Edition),Charlie Puth
34657844,사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),멜로망스
30244931,봄날,YOU NEVER WALK ALONE,방탄소년단
36388567,해금,D-DAY,Agust D
36241824,on the street (with J. Cole),on the street (with J. Cole),j-hope
4446485,너의 모든 순간,별에서 온 그대 OST Part.7,성시경
36294584,너를 보는게 지친 하루에,너를 보는게 지친 하루에,송하예
36001290,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY 1st Mini Album [Rose Blossom],H1-KEY (하이키)
36348051,가질 수 없는 너,가질 수 없는 너,#안녕
33507137,Butter,Butter,방탄소년단
35931532,Candy,Candy - Winter Special Mini Album,NCT DREAM
36374471,Kiss,Perfume - The 1st Mini Album,NCT 도재정
36294096,Set Me Free Pt.2,FACE,지민
36374474,후유증 (Can We Go Back),Perfume - The 1st Mini Album,NCT 도재정
33666269,Permission to Dance,Butter / Permission to Dance,방탄소년단
35953611,Say I Love You,Say I Love You (Re : WIND 4MEN Vol.04),우디 (Woody)
35730562,Nxde,I love,(여자)아이들
36034936,VIBE (feat. Jimin of BTS),VIBE (feat. Jimin of BTS),태양
36235518,나비무덤,나비무덤,포맨 (4MEN)
36344975,Say My Name,BOYS PLANET - ARTIST BATTLE,Say Yes!
35252996,해요 (2022),해요 (2022),#안녕
34864406,That's Hilarious,CHARLIE,Charlie Puth
35643794,Monologue,Monologue,테이
36374472,Dive,Perfume - The 1st Mini Album,NCT 도재정
35640077,Shut Down,BORN PINK,BLACKPINK
33658563,STAY,Stay,The Kid LAROI
36382580,헤어지자 말해요,1집 Alone,박재정
36374473,Strawberry Sunday,Perfume - The 1st Mini Album,NCT 도재정
35595136,새삥 (Prod. ZICO) (Feat. 호미들),스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),지코 (ZICO)
34431086,취중고백,취중고백,김민석 (멜로망스)
36322781,That’s Not How This Works (feat. Dan + Shay),That’s Not How This Works (feat. Dan + Shay),Charlie Puth
35667692,그중에 그대를 만나,삼남매가 용감하게 OST Part.1,김호중
34349913,ELEVEN,ELEVEN,IVE (아이브)
35542908,Pink Venom,BORN PINK,BLACKPINK
34787226,내가 아니라도,내가 아니라도,주호
36291745,결국엔 너에게 닿아서,결국엔 너에게 닿아서,WSG워너비 (가야G)
34927767,정이라고 하자 (Feat. 10CM),정이라고 하자,BIG Naughty (서동현)
36374475,안녕 (Ordinary),Perfume - The 1st Mini Album,NCT 도재정
36350347,다시 사랑한다면,다시 사랑한다면,한동근
36266614,"Young, Dumb, Stupid",expérgo,NMIXX
35485544,Cookie,NewJeans 1st EP 'New Jeans',NewJeans
34754292,TOMBOY,I NEVER DIE,(여자)아이들
35361345,그라데이션,5.3,10CM
33496587,다정히 내 이름을 부르면,다정히 내 이름을 부르면 (경서예지 x 전건호),경서예지
35383397,그때 그 순간 그대로 (그그그),WSG워너비 1집,WSG워너비 (가야G)
35009233,FEARLESS,FEARLESS,LE SSERAFIM (르세라핌)
36065180,당신을 만나,당신을 만나,김호중
34270805,오르트구름,YOUNHA 6th Album 'END THEORY',윤하 (YOUNHA)
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",'키스 먼저 할까요?' OST Part.3,폴킴
36296186,되돌리다,되돌리다,먼데이 키즈 (Monday Kiz)
36371557,Chase Love Hard (Feat. 황민현),사랑.zip,볼빨간사춘기
36388566,D-Day,D-DAY,Agust D
36224655,사랑이라 믿었던 것들은 (Feat. 이수현),호프리스 로맨틱,BIG Naughty (서동현)
36338239,빙글빙글 (Prod. R.Tee),빙글빙글,헤이즈 (Heize)
30633420,愛を伝えたいだとか / Ai Wo Tsutaetaidatoka (사랑을 전하고 싶다든가),靑春のエキサイトメント / Seishunno Excitement (청춘의 Excitement) (Excitement of Youth),Aimyon
